id,name,Architecture,Boost_Clock,Core_Speed,Memory,Memory_Speed,Memory_Bandwidth,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory_Bus,Memory_Type,Power_Connector,Process,Resolution_WxH,SLI_Crossfire,price,url_name,img_of_gpu
901,GeForce GTX 960 PNY XLR8 4GB Edition,Maxwell GM206-300-A1 ,1178,1127,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
902,GeForce GTX 960 Palit JetStream 2GB Edition,Maxwell GM206-300-A1 ,1266,1203,2048,1800 MHz,115.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
903,GeForce GTX 960 Palit 2GB Edition,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
904,GeForce GTX 960 MSI OC 2GB Edition,Maxwell GM206-300-A1 ,1241,1176,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
905,GeForce GTX 960 MSI Gaming 4GB Edition SLI,Maxwell GM206-300-A1 (x2) ,1304,1241,8192,1753 MHz,224.4GB/sec,1,Yes,DX 12.1,1,No,1024KB(x2),Nvidia,240 Watts,128 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
906,GeForce GTX 960 MSI Gaming 2GB Edition,Maxwell GM206-300-A1 ,1253,1190,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
907,GeForce GTX 960 MSI Gaming 4GB Edition,Maxwell GM206-300-A1 ,1304,1241,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
908,GeForce GTX 960 MSI Tiger OC 4GB Edition,Maxwell GM206-300-A1 ,1241,1178,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
909,GeForce GTX 960 MSI 2GB Edition,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
910,GeForce GTX 780 Zotac OC Edition,Kepler GK110-300-A1 ,993,941,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
911,GeForce GTX 780 Zotac OC Edition SLI,Kepler GK110-300-A1 (x2) ,993,941,6144,1502 MHz,576.8GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,450 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
912,GeForce GTX 960 Inno3D HerculeZ X3 Air Boss Ultra 2GB Edition,Maxwell GM206-300-A1 ,1393,1329,2048,1800 MHz,115.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,160 Watts,128 Bit ,GDDR5,2x 6-pin ,28nm,5120x3200,Yes,,,
913,GeForce GTX 960 Inno3D HerculeZ 2X OC 4GB Edition,Maxwell GM206-300-A1 ,1241,1178,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
914,GeForce GTX 960 MSI Gaming 100ME 2GB Edition,Maxwell GM206-300-A1 ,1253,1190,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
915,GeForce GTX 780 Zotac AMP! Edition,Kepler GK110-300-A1 ,1058,1006,3072,1552 MHz,298GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,300 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
916,GeForce GTX 780 WindForce 3X OC Edition,Kepler GK110-300-A1 ,1006,954,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
917,GeForce GTX 780 Ti WindForce 3X OC Edition,Kepler GK110-425-B1 ,1085,1020,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
918,GeForce GTX 780 Ti Zotac AMP! Edition,Kepler GK110-425-B1 ,1072,1006,3072,1800 MHz,345.6GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
919,GeForce GTX 780 Ti Palit JetStream Edition,Kepler GK110-425-B1 ,1006,980,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
920,GeForce GTX 780 Ti SLI,Kepler GK110-425-B1 (x2) ,928,875,6144,1750 MHz,672GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,500 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
921,GeForce GTX 780 Ti MSI Gaming 3GB Edition,Kepler GK110-425-B1 ,1085,1020,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
922,GeForce GTX 780 Ti Gigabyte GHz Edition,Kepler GK110-425-B1 ,1150,1085,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
923,GeForce GTX 780 Ti PNY XLR8 Enthusiast OC Edition,Kepler GK110-425-B1 ,1045,980,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
924,GeForce GTX 780 Ti Galaxy HOF+ Edition,Kepler GK110-425-B1 ,1085,1020,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
925,GeForce GTX 780 Ti Gainward Phantom Edition,Kepler GK110-425-B1 ,1046,980,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
926,GeForce GTX 780 Ti HerculeZ X3 Ultra Edition,Kepler GK110-425-B1 ,1046,1006,3072,1800 MHz,345.6GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
927,GeForce GTX 780 Ti EVGA SuperClocked w/ ACX Edition,Kepler GK110-425-B1 ,1072,1006,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
928,GeForce GTX 780 Ti EVGA Classified Kingpin Edition,Kepler GK110-425-B1 ,1137,1072,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
929,GeForce GTX 780 Ti EVGA DC w/ ACX Edition,Kepler GK110-425-B1 ,1085,1020,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
930,GeForce GTX 780 Ti EVGA SuperClocked Edition,Kepler GK110-425-B1 ,1045,980,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
931,GeForce GTX 780 Ti DirectCU II OC Edition,Kepler GK110-425-B1 ,1020,954,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
932,GeForce GTX 780 Ti,Kepler GK110-425-B1 ,928,875,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
933,GeForce GTX 780 Palit Super JetStream Edition,Kepler GK110-300-A1 ,1033,980,3072,1550 MHz,297.6GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
934,GeForce GTX 780 Ti Asus ROG Matrix Platinum Edition,Kepler GK110-425-B1 ,1072,1006,3072,1750 MHz,336GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
935,GeForce GTX 960 Inno3D HerculeZ 1X 4GB Edition,Maxwell GM206-300-A1 ,1178,1127,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
936,GeForce GTX 960 Gigabyte WindForce 2X OC 4GB Edition,Maxwell GM206-300-A1 ,1304,1241,4096,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
937,GeForce GTX 960 Inno3D HerculeZ 2X OC 2GB Edition,Maxwell GM206-300-A1 ,1241,1178,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
938,GeForce GTX 960 Inno3D HerculeZ 1X 2GB Edition,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
939,GeForce GTX 780 SLI,Kepler GK110-300-A1 (x2) ,902,863,6144,1502 MHz,576.8GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,500 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
940,GeForce GTX 960 Gigabyte OC 2GB Edition,Maxwell GM206-300-A1 ,1253,1190,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
941,GeForce GTX 960 Gigabyte IX OC 2GB Edition,Maxwell GM206-300-A1 ,1228,1165,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
942,GeForce GTX 960 Gigabyte G1 Gaming 2GB Edition,Maxwell GM206-300-A1 ,1304,1241,2048,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,2x 6-pin ,28nm,5120x3200,Yes,,,
943,GeForce GTX 960 Gigabyte WindForce 2X OC 2GB Edition,Maxwell GM206-300-A1 ,1279,1216,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
944,GeForce GTX 960 Galax OC 2GB Edition,Maxwell GM206-300-A1 ,1228,1165,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
945,GeForce GTX 960 Galax KFA2 EXOC 4GB Edition,Maxwell GM206-300-A1 ,1329,1266,4096,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,No,,,
946,GeForce GTX 960 Galax KFA2 EXOC 2GB Edition,Maxwell GM206-300-A1 ,1329,1266,2048,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
947,GeForce GTX 960 Gigabyte G1 Gaming 4GB Edition,Maxwell GM206-300-A1 ,1304,1241,4096,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,5120x3200,Yes,,,
948,GeForce GTX 960 Galax EXOC White 2GB Edition,Maxwell GM206-300-A1 ,1342,1279,2048,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
949,GeForce GTX 960 Gigabyte OC 4GB Edition,Maxwell GM206-300-A1 ,1253,1190,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
950,GeForce GTX 960 Galax 2GB Edition,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
951,GeForce GTX 960 Gainward Phantom GLH 2GB Edition,Maxwell GM206-300-A1 ,1342,1279,2048,1800 MHz,115.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
952,GeForce GTX 960 Gainward Phantom 2GB Edition,Maxwell GM206-300-A1 ,1266,1203,2048,1800 MHz,115.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
953,GeForce GTX 960 Galax EXOC 2GB Edition,Maxwell GM206-300-A1 ,1266,1203,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
954,GeForce GTX 960 Gainward OC 2GB Edition,Maxwell GM206-300-A1 ,1228,1165,2048,1753 MHz,112.2GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
955,GeForce GTX 960 Galax Gamer OC Mini Black 4GB Edition,Maxwell GM206-300-A1 ,1253,1190,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
956,GeForce GTX 960 EVGA SuperSC ACX 2.0+ 4GB Edition,Maxwell GM206-300-A1 ,1342,1279,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,160 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
957,GeForce GTX 960 EVGA Superclocked 2GB Edition,Maxwell GM206-300-A1 ,1279,1216,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
958,GeForce GTX 780 MSI TwinFrozr Gaming OC Edition,Kepler GK110-300-A1 ,1006,954,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
959,GeForce GTX 780 Palit JetStream Edition,Kepler GK110-300-A1 ,954,902,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
960,GeForce GTX 960 EVGA SuperSC ACX 2.0+ 2GB Edition,Maxwell GM206-300-A1 ,1342,1279,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
961,GeForce GTX 780 MSI Lightning Edition,Kepler GK110-300-A1 ,1033,980,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
962,GeForce GTX 780 Inno3D iChill HerculeZ X3 Ultra DHS Edition,Kepler GK110-300-A1 ,1085,1046,3072,1550 MHz,297.6GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,265 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
963,GeForce GTX 780 Inno3D HerculeZ 2000 Edition,Kepler GK110-300-A1 ,936,900,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
964,GeForce GTX 780 MSI Gaming 6GB Edition,Kepler GK110-301-B1 ,1006,954,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
965,GeForce GTX 780 Inno3D Ice Dragon Edition,Kepler GK110-300-A1 ,1046,1006,3072,1553 MHz,298.2GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
966,GeForce GTX 780 Gigabyte GHz Edition,Kepler GK110-300-A1 ,1071,1019,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
967,GeForce GTX 780 Gainward Phantom GLH Edition,Kepler GK110-300-A1 ,1033,980,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
968,GeForce GTX 780 EVGA SC w/ ACX Edition SLI,Kepler GK110 ,1020,967,6144,1502 MHz,576.8GB/sec,2,Yes,DX 12.0,1,No,768KB(x2),Nvidia,500 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
969,GeForce GTX 780 EVGA Dual FTW w/ ACX Edition,Kepler GK110-300-A1 ,1033,980,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
970,GeForce GTX 780 Gainward Phantom Edition,Kepler GK110-300-A1 ,954,902,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
971,GeForce GTX 780 EVGA SC w/ ACX 6GB Edition,Kepler GK110-301-B1 ,1020,967,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
972,GeForce GTX 780 EVGA Dual Classified w/ ACX Edition,Kepler GK110-300-A1 ,1046,993,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
973,GeForce GTX 780 Asus Strix OC 6GB Edition,Kepler GK110-301-B1 ,941,889,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
974,GeForce GTX 780 EVGA SC w/ ACX Edition,Kepler GK110-300-A1 ,1020,967,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
975,GeForce GTX 780 EVGA SC Edition,Kepler GK110-300-A1 ,993,941,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
976,GeForce GTX 780 DirectCU II Edition,Kepler GK110-300-A1 ,902,863,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
977,GeForce GTX 780 DirectCU II OC Edition,Kepler GK110-300-A1 ,902,889,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
978,GeForce GTX 960 EVGA FTW ACX 2.0+ 4GB Edition,Maxwell GM206-300-A1 ,1367,1304,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
979,GeForce GTX 780 Galaxy HOF 3GB Edition,Kepler GK110-300-A1 ,1058,1006,3072,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
980,GeForce GTX 960 EVGA ACX 2.0+ 4GB Edition,Maxwell GM206-300-A1 ,1178,1127,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 8-pin ,28nm,5120x3200,Yes,,,
981,GeForce GTX 960 EVGA FTW ACX 2.0+ 2GB Edition,Maxwell GM206-300-A1 ,1367,1304,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
982,GeForce GTX 960 Asus Turbo OC 4GB Edition SLI,Maxwell GM206-300-A1 (x2) ,1317,1253,8192,1753 MHz,224.4GB/sec,1,Yes,DX 12.1,1,No,1024KB(x2),Nvidia,300 Watts,128 Bit ,GDDR5,2x 6-pin ,28nm,5120x3200,Yes,,,
983,GeForce GTX 960 Asus Turbo OC 2GB Edition,Maxwell GM206-300-A1 ,1317,1253,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
984,GeForce GTX 960 Asus Turbo OC 4GB Edition,Maxwell GM206-300-A1 ,1317,1253,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,150 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
985,GeForce GTX 960 Asus Strix DirectCU II OC 4GB Edition,Maxwell GM206-300-A1 ,1317,1253,4096,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,150 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
986,GeForce GTX 960 EVGA ACX 2.0+ 2GB Edition,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
987,GeForce GTX 960 2GB,Maxwell GM206-300-A1 ,1178,1127,2048,1753 MHz,112.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
988,GeForce GTX 780 Asus ROG POSEIDON Edition SLI,Kepler GK110-300-A1 (x2) ,1006,954,6144,1502 MHz,576.8GB/sec,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,550 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
989,GeForce GTX 960 2GB SLI,Maxwell GM206-300-A1 (x2) ,1178,1127,4096,1753 MHz,224.4GB/sec,2,Yes,DX 12.1,1,No,1024KB(x2),Nvidia,240 Watts,128 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
990,GeForce GTX 960 Asus Strix DirectCU II OC 2GB Edition,Maxwell GM206-300-A1 ,1317,1253,2048,1800 MHz,115.2GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
991,GeForce GTX 950 Zotac AMP! 2GB Edition,Maxwell GM206-250 ,1405,1203,2048,1755 MHz,112.3GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
992,GeForce GTX 950 Zotac 2GB Edition,Maxwell GM206-250 ,1266,1089,2048,1652 MHz,105.7GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
993,GeForce GTX 950 Zotac OC 2GB Edition,Maxwell GM206-250 ,1279,1102,2048,1701 MHz,108.9GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,120 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
994,GeForce GTX 950 PNY 2GB Edition,Maxwell GM206-250 ,1188,1024,2048,1653 MHz,105.8GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,94 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
995,GeForce GTX 950 Palit StormX 2GB Edition,Maxwell GM206-250 ,1190,1126,2048,1653 MHz,105.8GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,150 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
996,GeForce GTX 950 LP MSI OC v3 2GB Edition,Maxwell GM206-251-A1 ,1253,1076,2048,1653 MHz,105.8GB/sec,1,Yes,DX 12.1,1,No,1024KB,Nvidia,75 Watts,128 Bit ,GDDR5,None ,28nm,5120x3200,Yes,,,
997,GeForce GTX 950 MSI Gaming 2GB Edition,Maxwell GM206-250 ,1317,1127,2048,1663 MHz,106.4GB/sec,2,Yes,DX 12.1,1,No,1024KB,Nvidia,100 Watts,128 Bit ,GDDR5,1x 6-pin ,28nm,5120x3200,Yes,,,
998,GeForce GTX 780 Asus DirectCU II OC Edition SLI,Kepler GK110-300-A1 (x2) ,902,889,6144,1502 MHz,576.8GB/sec,2,Yes,DX 12.0,1,No,3072KB,Nvidia,500 Watts,768 Bit ,GDDR5,4x 6-pin ,28nm,4096x2160,No,,,
999,GeForce GTX 780 6GB,Kepler GK110-301-B1 ,902,863,6144,1502 MHz,288.4GB/sec,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
